Component,Path,Description,IPC_Channels,Tests
MainShell,src/components/layout/MainShell.tsx,App shell with top-level navigation and layout providers,,
BottomDeck,src/components/layout/BottomDeck.tsx,Bottom deck for playback and transport controls,,
ActivityBar,src/components/layout/ActivityBar.tsx,Left activity bar for global navigation,,
ThemeEditor,src/components/settings/ThemeEditor.tsx,Editor for theme customization and persist settings,DB:SET_SETTING; DB:GET_SETTINGS,
StylePreview,src/components/settings/StylePreview.tsx,Preview pane for selected theme styles,,
PathConfiguration,src/components/settings/PathConfiguration.jsx,Path setup, cloud integration and directory selection,PATH:GET_CONFIG; PATH:SELECT_DIRECTORY; PATH:ENABLE_GOOGLE_DRIVE; PATH:DISABLE_CLOUD; PATH:UPDATE_CONFIG,
YouTubeInput,src/components/importer/YouTubeInput.tsx,YouTube downloader input UI that uses the downloader bridge,DOWNLOADER:DOWNLOAD (via electron.downloadYouTube),
MenuConfigTab,src/components/settings/MenuConfigTab.tsx,Menu customization and keybindings,,
ConnectionsTab,src/components/settings/ConnectionsTab.tsx,Devices & OSC/MIDI connection UI,OSC:SEND_TRANSPORT; TRACK:RESOLVE_INDEX,
CalibrationTab,src/components/settings/CalibrationTab.tsx,Calibration job management UI,CALIBRATION:RUN,
CalibrationDataset,src/components/settings/CalibrationDataset.tsx,Benchmark dataset management UI,CALIBRATION:GET_BENCHMARKS,
AppearanceTab,src/components/settings/AppearanceTab.tsx,Appearance and theme settings UI,DB:GET_SETTINGS; DB:SET_SETTING,
AnalysisTab,src/components/settings/AnalysisTab.tsx,Analysis and tuning settings UI,DB:GET_SETTINGS; DB:SET_SETTING,
ErrorBoundary,src/components/ErrorBoundary.jsx,UI-level error boundary wrapper for component trees,,
ArrangementBlock,src/components/ArrangementBlock.jsx,Single arrangement block used in the grid and sandbox,,
AnalysisJobManager,src/components/AnalysisJobManager.jsx,Queue and run analysis jobs UI,ANALYSIS:START; ANALYSIS:LOAD_TO_ARCHITECT,
TabsUI,src/components/ui/tabs.jsx,Generic tabs UI primitive,,
SmartContextMenu,src/components/ui/SmartContextMenu.tsx,Contextual right-click menu helper,,
ScrollArea,src/components/ui/scroll-area.tsx,Scrollable area UI wrapper,,
ContextMenuPrimitive,src/components/ui/context-menu.tsx,Context menu wrapper primitives,,
Checkbox,src/components/ui/checkbox.tsx,Checkbox UI primitive,,
Card,src/components/ui/card.jsx,Card UI primitive,,
Button,src/components/ui/button.jsx,Button primitive used across the UI,,
SongOverview,src/components/editor/SongOverview.tsx,High level song metadata and actions,ANALYSIS:GET_RESULT,
SectionEditor,src/components/editor/SectionEditor.tsx,Edit section metadata such as labels, color,,
EditorLyricsPanel,src/components/editor/LyricsPanel.tsx,Lyrics panel used in editor — duplicate of lyrics panel for editor integration,LYRICS:GET,
InspectorPanelEditor,src/components/editor/InspectorPanel.tsx,Inspector panel for editor-specific features,,
BeatEditor,src/components/editor/BeatEditor.tsx,Edit beat-level data and chord edits within a measure,,
SectionContainer,src/components/grid/SectionContainer.tsx,Section container and layout for the grid,,
ProgressionOverlay,src/components/grid/ProgressionOverlay.tsx,Overlay showing progression & selections,,
ProgressionBracket,src/components/grid/ProgressionBracket.tsx,Bracket overlays between sections,,
NavigationTimeline,src/components/grid/NavigationTimeline.tsx,Clickable timeline and navigation; seeks on click,,src/components/grid/__tests__/NavigationTimeline.test.tsx
MeasureGroup,src/components/grid/MeasureGroup.tsx,Group of measures within a bar,,
Measure,src/components/grid/Measure.tsx,Displays beats and timing for a measure,,
HarmonicGrid,src/components/grid/HarmonicGrid.tsx,Top-level harmonic grid visualizer and editor,,
ContextualInspector,src/components/grid/ContextualInspector.tsx,Inspector for selected grid objects with split/duplicate/delete,ARCHITECT:FORCE_SPLIT (suggest),src/components/grid/__tests__/ContextualInspector.test.tsx
ChordEditor,src/components/grid/ChordEditor.tsx,Chord inspector and editor UI,,
BeatCard,src/components/grid/BeatCard.tsx,Visual individual beat card UI used in grid,,
LibraryView,src/views/LibraryView.tsx,Library listing UI with import and project actions,LIBRARY:GET_PROJECTS; LIBRARY:RE_ANALYZE; LIBRARY:ATTACH_MIDI; LIBRARY:CREATE_PROJECT; DOWNLOADER:DOWNLOAD,src/__tests__/library.importSong.lyrics.test.js
SandboxView,src/views/SandboxView.tsx,Main editor sandbox view with grid, inspector and timeline,ANALYSIS:GET_RESULT (via EditorContext); UI interactions via EditorContext,
SettingsView,src/views/SettingsView.tsx,Settings page aggregating theme, calibration, and connection settings,DB:GET_SETTINGS; DB:SET_SETTING; PATH:GET_CONFIG; PATH:UPDATE_CONFIG,
ArchitectPage,src/pages/Architect.jsx,Architect page for block sequencing and arrangement editing,ARCHITECT:FORCE_SPLIT (via child components);
MapperPage,src/pages/Mapper.jsx,Mapping workspace for macros & DAW control; listens for MIDI abstracted events,DEBUG:MIDI_ABSTRACTED,
ConnectionsPage,src/pages/Connections.jsx,Connections page showing device and status; uses app IPC to refresh,(via useAppIPC) NETWORK:SEND_MACRO (via Toolbar),
AppRoot,src/App.jsx,Top-level application shell and routing container; opens sandbox from events,ANALYSIS:GET_BY_ID; ANALYSIS:GET_RESULT; ANALYSIS:LOAD_TO_ARCHITECT,
